listing_id,asking_price,sde,multiple,sba_eligible
27592,900000,233777,3.849822694277025,no
34288,150000,87774,1.7089343085651787,no
26480,500000,250046,1.9996320676995434,no
30199,1400000,549962,2.5456304253748443,yes
19223,165000,58990,2.7970842515680623,no
27643,1485000,593944,2.5002357124577403,no
26573,14645000,2440948,5.999718142295534,unknown
23680,150000,60471,2.4805278563278264,no
33925,225000,88573,2.5402775112054465,no
30747,8000000,2644634,3.02499325048381,unknown
28928,750000,338297,2.2169868488340128,no
35547,2200000,847856,2.5947802457021005,no
35653,948000,327477,2.8948597916800263,yes
23586,350000,108991,3.2112743254030147,no
25286,6100000,2037860,2.9933361467421706,no
35855,434000,145183,2.9893307067631887,no
23709,1000000,522248,1.9147990992785038,yes
27268,1200000,340950,3.519577650681918,no
24695,625000,186174,3.3570745646545705,no
26636,3000000,814541,3.6830558559974267,yes
34050,25000000,5706691,4.3808224415865515,no
6875,595000,263897,2.2546675407450634,no
25452,239000,123420,1.9364770701669098,unknown
30905,1591000,636532,2.499481565734323,no
30857,2995000,845445,3.5425131143953776,no
24061,7750000,2005460,3.8644500513597877,yes
23136,550000,289734,1.8982929169514107,no
32079,227999,114761,1.9867289410165474,no
18639,500000,522474,0.9569854193701505,no
32328,403000,133516,3.0183648401689687,no
17938,6799000,6796418,1.000379906003427,no
18099,119000,40745,2.920603755061971,unknown
16914,90000,35492,2.5357827115969798,no
18710,169500,47824,3.5442455670792907,no
23429,600000,326996,1.8348848303954788,unknown
33537,500000,819650,0.610016470444702,no
13990,4600000,1704289,2.6990727511589876,yes
19908,200000,104075,1.9216910881575786,no
20427,650000,250205,2.5978697468076177,no
24587,1630000,813601,2.003439032154582,no
28025,6000000,953153,6.294897041713135,yes
18001,589000,198575,2.9661337026312475,no
19678,1195000,386704,3.090218875418925,no
23204,357000,89415,3.992618688139574,no
29066,1200000,396955,3.0230126840573868,unknown
23521,1485000,445462,3.3336176823163366,unknown
36257,275000,99293,2.769580937226189,unknown
27495,929000,289803,3.2056258906912625,yes
34777,799000,233454,3.422515784694201,unknown
20294,499000,162727,3.066485586288692,unknown
21930,1000000,317198,3.152604997509442,no
23262,499000,178351,2.797853670570953,unknown
17312,420000,105848,3.9679540473131283,no
25477,755000,229241,3.293477170314211,no
21397,1740000,502520,3.4625487542784366,no
20575,359000,110330,3.253874739418109,unknown
29379,3700000,731394,5.058832858896846,yes
25772,110000,71069,1.547791582827956,no
18078,125000,38933,3.210643926745948,unknown
24362,3565000,1188075,3.0006523157208087,yes
22943,5850000,1463306,3.99779676978021,yes
34412,275000,156797,1.7538600866087999,no
26749,450000,367469,1.2245930949277355,no
16271,350000,98294,3.5607463324312776,no
25250,1750000,848592,2.062239568603051,no
30856,2250000,876060,2.5683172385453052,unknown
25230,545500,184595,2.9551179609415206,no
19120,2000000,616536,3.24393060583648,yes
27689,565000,202574,2.7891042285781986,yes
28317,50000,30078,1.6623445707826319,no
9666,2100000,826734,2.5401156841257286,yes
13061,250000,89505,2.7931400480420088,no
33807,8000000,1014584,7.88500508582828,no
11587,424000,141417,2.9982251073067596,unknown
22301,120000,42541,2.8208081615382805,no
35725,1200000,434098,2.764352749839898,no
21876,70000,42760,1.6370439663236669,no
31903,165000,62855,2.6250894916872167,no
27128,600000,246180,2.4372410431391667,no
33775,3200000,1070200,2.9900953092879834,yes
34068,80000,30503,2.622692849883618,no
36060,1350000,426262,3.1670662644101517,unknown
29014,450000,131044,3.4339611122981593,no
29598,2100000,729418,2.8790076471926933,yes
19170,2000000,670318,2.9836585023824513,yes
19224,2031460,615594,3.2999996751105436,yes
32811,2730000,606521,4.50108075400522,yes
21821,239000,112559,2.123330875363143,no
27278,50000,60931,0.8206003512169503,no
23462,60000,48512,1.2368073878627968,no
17542,378750,172157,2.200026719796465,no
34076,970000,463068,2.0947247488489813,no
36259,900000,292832,3.073434597311769,no
34136,2200000,409315,5.374833563392497,no
19437,195000,94948,2.053755739983991,no
29592,1300000,519565,2.5020930971100825,unknown
18107,1100000,526349,2.0898681293210397,yes
21009,225000,105281,2.137137755150502,no
27532,1200000,339166,3.5380904925611647,yes
20684,800000,211337,3.785423281299536,yes
27226,250000,135358,1.8469540034574978,no
17923,500000,284901,1.7549955949610567,no
29530,1000000,339081,2.9491478437305543,yes
20815,600000,331718,1.8087652765300648,no
20580,4500000,1288493,3.4924520350518007,no
19841,321000,164814,1.9476500782700499,no
18124,599000,232337,2.578151564322514,yes
20588,385000,122404,3.145322048299075,no
18699,310000,102452,3.025807207277554,no
25141,520000,257795,2.0171066157217945,no
19940,775000,399095,1.9418935341209487,no
24779,750000,450362,1.6653270036104288,no
26353,315000,81598,3.8603887350180153,yes
19838,7000000,1817142,3.8522030749385574,unknown
22692,227500,90920,2.502199736031676,no
34887,280000,118266,2.3675443491789694,no
28115,4000000,1125198,3.554929887895286,yes
29208,1025000,186873,5.4850085352084035,no
25934,1570000,628438,2.498257584678202,unknown
25264,828000,306911,2.697850516925102,no
33344,50000,28463,1.7566665495555633,unknown
18025,2850000,947019,3.009443316343178,no
34804,3300000,1031306,3.199826239738739,yes
29211,104995,41998,2.5,no
24379,700000,330156,2.1202098401967553,no
22437,4277745,1425915,3.0,yes
28011,1000000,365618,2.735095099256601,no
26690,680000,453764,1.498576352465158,no
18011,580000,193665,2.994862262153719,no
32681,3000000,1786602,1.6791652533692452,no
21899,400000,154042,2.5966944080185925,yes
21809,445000,167420,2.657985903715207,unknown
29429,480000,232629,2.063371290767703,no
27936,1600000,431649,3.706715409974308,yes
22520,1053000,526438,2.00023554530638,no
23624,731295,292518,2.5,no
24844,2300000,630420,3.6483614098537482,no
20767,400000,157401,2.5412799156295067,no
28179,560000,158618,3.530494647517936,yes
18320,87375,87375,1.0,no
29525,159250,45499,3.500076924767577,no
20634,315000,166980,1.8864534674811355,no
12034,290000,85297,3.3998851073308556,no
15413,800000,284136,2.8155531154095224,no
27296,65000,26273,2.4740227610094014,no
29262,330000,132105,2.498012944248893,no
23592,3500000,624060,5.608435086369901,yes
20272,866179,524957,1.6499999047541036,unknown
26079,1999000,663126,3.0145100629442974,no
26838,575000,240457,2.391279937785134,yes
19907,240000,88601,2.7087730386790216,no
19374,165000,108794,1.5166277552070886,no
21790,399376,99844,4.0,yes
16522,1550000,396110,3.9130544545707,no
26197,85000,38491,2.2083084357382243,no
24348,2490000,551668,4.51358425719817,yes
20667,1415000,1011715,1.3986152226664623,no
17818,3490000,929089,3.7563677968418525,yes
19845,2200000,603976,3.6425288422056505,yes
32968,78000,35926,2.171129544062796,no
30874,115500,61128,1.8894778170396545,no
28740,130000,69237,1.877608792986409,no
21934,390000,196003,1.989765462773529,no
18638,479000,148929,3.2162976989035044,no
29862,899000,319929,2.8099984684101784,yes
19050,1500000,447596,3.351236382809498,no
30373,65000,129540,0.5017755133549483,no
26302,320000,98242,3.2572626778770792,yes
22863,499000,216052,2.309629163349564,no
23473,125000,34674,3.6050066332122053,no
35777,1420000,449174,3.161358404538108,yes
22599,72500,36287,1.997960702179844,no
28692,660000,201490,3.2755968038116037,no
18096,748000,250021,2.9917486931097788,no
23097,13500000,2999437,4.500844658514247,yes
35273,7000000,2069031,3.383226254222387,yes
7499,325000,125071,2.5985240383462194,no
30805,375000,171091,2.1918160511073053,no
31468,550000,326919,1.6823739213689017,yes
34279,1900000,557981,3.405133866565349,no
17904,459000,366180,1.2534818941504178,no
23775,1895000,530900,3.56941043511019,no
19258,1600000,505777,3.1634495044258637,yes
26243,160000,290819,0.5501703808898318,no
15012,142500,57028,2.49877253279091,no
29867,1000000,377188,2.651197811171087,yes
35697,140000,52032,2.690651906519065,no
24842,260000,92258,2.8181837889397126,no
25726,562500,291385,1.930435677883213,no
30193,610000,206445,2.9547821453655936,yes
30994,100000,30017,3.3314455142086152,no
24040,172500,52271,3.300109047081556,no
19396,675000,299442,2.254192798605406,no
35095,160000,67929,2.3554004916898528,no
26105,655900,218636,2.999963409502552,yes
32980,4300000,1048070,4.102779394506092,yes
28876,144000,117235,1.2283021282040347,no
24112,4450000,1305162,3.409538432776927,no
33589,2050000,634371,3.2315474698559674,yes
16878,230000,103797,2.215863656945769,no
21049,4200000,1083078,3.877837053287021,yes
24594,567800,378567,1.4998666022130824,no
23675,1850000,486894,3.7995949837130873,yes
33900,750000,283312,2.6472581464957363,no
19095,575000,261971,2.194899435433693,no
29740,1100000,624219,1.7622020476787794,unknown
34290,350000,89619,3.9054218413506065,no
23620,1400000,466915,2.998404420504803,yes
29684,699000,228321,3.0614792331848584,no
33550,4000000,762432,5.24636951229749,unknown
7559,1895000,546147,3.469761804056417,no
20398,235000,72270,3.2516950325169502,no
17700,2229000,577949,3.8567416848199407,yes
32257,2000000,628222,3.1835879673109186,no
16471,436000,89462,4.873577608370034,unknown
32616,8999000,2653336,3.3915795059502454,yes
24946,326000,112475,2.898421871527006,no
32380,7750000,1722375,4.4996008418608024,yes
26074,10000000,2366119,4.226330121181563,yes
20395,900000,382584,2.352424565585597,no
18370,10090000,2049447,4.9232793041244785,partial
33332,650000,420981,1.544012675156361,no
32788,650000,189267,3.4343018064427504,unknown
25005,1225000,699998,1.7500050000142857,yes
5025,295000,102471,2.878863288149818,unknown
17516,179000,46618,3.839718563644944,no
25215,4640000,1546035,3.001225716106039,yes
29908,218500,109812,1.9897643244818417,no
19796,2690000,1140488,2.3586394595997504,unknown
18546,1380000,399744,3.452209414024976,no
20127,199000,88848,2.2397802989375113,unknown
18449,1250000,378606,3.3015852891924586,unknown
18318,197244,49311,4.0,no
19332,165000,46385,3.5571844346232617,no
34289,471000,237105,1.9864616941861202,no
22082,275000,137958,1.9933602980617289,no
