id,name,old_status,new_status,reason
19678,"SBA PreQualified 5-Year-Old FBA Business with over 10,000 4.4-Star Avg Reviews",no,yes,Title clearly states SBA qualification
21413,SBA Pre Qualified | Health & Wellness DTC | 80% Gross Profit | Exploding Niche,unknown,yes,Title clearly states SBA qualification
25934,"SBA Pre-Qualified: Sleep Aid eCommerce w/ Strong Brand & Growth Ops, YoY Rev +35",unknown,yes,Title clearly states SBA qualification
30747,"SBA Max $5M Pre-Approval | Exploding SaaS Trading Platform | $5.4M REV, $2.7M+ S",unknown,yes,Title clearly states SBA qualification
