id,name,status,closed_at,closed_commission,total_lois,sba_lois,has_sba_loi,winning_loi_sba,pct_sba_lois
9666,SBA Shopify Christian Products Brand | 53% Repeat Order Rate | $20M+ Lifetime Sales | High Margins,lost,2025-02-18 19:36:03,,0,0,False,False,0.0
13990,SBA Prequalified | 7 Year-Old Blue-Collar Workwear Brand w/38% Net Margins | Growth Opportunities,sold,2024-09-30 22:39:09,305000.0,3,1,True,True,33.33333333333333
17700,SBA-Eligible: Leading Amazon FBA Outdoor & Survival Brand w/ Triple Digit Growth,sold,2022-07-18 07:56:25,,0,0,False,False,0.0
17818,SBA Pre-Qualified SAAS Business | 95% Client Retention | Growing 69% YOY | Amazing Growth Potential,sold,2022-07-18 07:56:25,,0,0,False,False,0.0
18107,SBA Pre-Qualified Virtual Team Building Business | $526k of SDE on $660k in Revenue | 2.1x Multiple,sold,2022-07-18 07:56:25,,0,0,False,False,0.0
18124,SBA Pre-Qualified E-Com Biz | $1m+ Rev on $0 Ad Spend | Opps to Modernize 25 Year Old Biz,sold,2022-07-18 07:56:25,,0,0,False,False,0.0
19120,SBA Pre-Qualified Health & Fitness Content Site | 100%+ Rev and SDE Growth | 2.5M+ TTM Page Views,active,,,0,0,False,False,0.0
19170,SBA Pre Qualified - 8-Year-Old Women’s Boutique - $670K SDE w/ Only $55k Ad Spend,sold,2022-09-07 00:50:02,,0,0,False,False,0.0
19224,SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth,sold,2024-09-27 14:58:02,215000.0,2,0,False,False,0.0
19258,"Established Bicycle Manufacturer with 45.8% Growth, Repeat Revenue, & Celebrated Brand",lost,2024-01-04 21:38:03,,0,0,False,False,0.0
19845,SBA Pre-Qualified: B2B SaaS w/ 17.8% Earnings Growth and 12 Yr History,sold,2022-11-08 15:21:01,,0,0,False,False,0.0
20684,SBA Pre-Qualified | Education Vertical Subscription | SaaS and Subscription Business,sold,2023-02-14 19:04:02,75000.0,1,0,False,False,0.0
